"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140"
"Glenfield-Jane Heights",25,5790,4520,11590,3605,5005,700,27984,25395,25.7,410012,13440,11895,1550,10985,48.7,11.5,30250,13575,175,0,845,265,45,75,750,6300,10,15,665,1215,80,415,3285,1350,330,1150,3405,2015,"Glenfield-Jane Heights (25)"
"Downsview-Roding-CFB",26,5725,4340,15045,4380,5535,870,34168,29774,19.4,562794,18045,16630,1420,11210,56.8,7.9,35025,15010,215,5,625,575,100,140,855,8870,35,95,405,690,435,4330,925,645,425,3720,3085,2015,"Downsview-Roding-CFB (26)"
"York University Heights",27,4045,4750,12290,2965,3530,400,29958,26651,24.4,302358,14815,13235,1585,8705,56.3,10.7,27590,11385,195,5,625,770,80,80,2170,3655,30,345,480,1600,605,1235,1360,775,280,995,5505,2015,"York University Heights (27)"
"Rustic",28,1940,1405,3615,1115,1865,365,31800,28118,31.7,113995,4100,3735,375,3720,47.8,9.1,9760,4745,50,0,620,100,35,30,145,2480,5,5,255,100,15,1150,210,5,85,240,1965,2015,"Rustic (28)"
"Maple Leaf",29,1500,1265,4110,1205,2030,380,37108,31957,15.2,144062,5145,4735,415,3220,56.5,8.1,10025,3835,35,5,80,150,45,65,620,3125,5,5,35,105,40,1635,175,95,205,635,800,2015,"Maple Leaf (29)"
"Brookhaven-Amesbury",30,3360,2460,7625,2185,2130,285,32483,28552,24.7,176688,9105,8195,915,5240,57.1,10,17720,8275,100,0,530,270,60,40,620,3960,10,35,365,445,130,1790,240,25,135,540,3745,2015,"Brookhaven-Amesbury (30)"
"Yorkdale-Glen Park",31,1960,1870,5860,1810,3295,775,38527,32904,16.8,213860,7245,6670,580,4825,55.3,8,14050,5900,100,0,250,280,50,110,340,3935,35,70,70,655,45,2165,80,600,465,830,1185,2015,"Yorkdale-Glen Park (31)"
"Englemount-Lawrence",32,4805,3030,8385,2430,3725,955,48134,39911,21.3,293189,10760,9805,955,6330,57.4,8.9,22065,12695,180,0,660,930,500,125,355,1490,15,105,160,305,50,1905,30,265,510,2510,3030,2015,"Englemount-Lawrence (32)"
"Clanton Park",33,2765,1910,7470,1935,2375,400,51181,41837,14.9,168893,9275,8710,565,4380,63.8,6.1,16420,8625,180,0,415,960,205,180,290,1385,15,215,35,400,85,2405,10,15,555,1255,2315,2015,"Clanton Park (33)"
"Bathurst Manor",34,2325,1940,6655,2030,2940,710,45936,37927,17,251583,8620,8000,620,4640,60.3,7.2,15630,6710,165,0,400,2065,190,285,550,1735,25,270,25,430,325,2105,165,45,640,1070,2055,2015,"Bathurst Manor (34)"
"Westminster-Branson",35,3440,3355,10865,3500,5130,1000,32724,28613,24.4,332776,14055,12780,1290,8660,56.2,9.2,26095,7435,240,0,655,6660,360,40,1190,1250,15,790,45,625,275,870,555,470,145,455,7735,2015,"Westminster-Branson (35)"
"Newtonbrook West",36,2810,3325,10410,3110,4165,685,34904,29760,26.3,260415,12435,11390,1050,8390,54.7,8.4,23640,6495,150,5,450,3150,230,135,2230,1265,75,1925,15,2305,220,2530,605,550,375,495,4400,2015,"Newtonbrook West (36)"
"Willowdale West",37,1785,2230,7480,2070,3370,655,44576,36093,27.1,272986,8610,7760,845,6250,52.2,9.8,16890,5785,140,0,245,1250,205,125,2040,785,100,1745,5,3100,100,2030,140,250,300,195,4630,2015,"Willowdale West (37)"
"Lansing-Westgate",38,2420,2105,7590,1910,2160,360,72371,54879,17.6,356122,9195,8530,665,4450,62.5,7.2,16160,8275,185,5,290,1115,170,105,1215,830,50,775,10,1365,60,2355,30,0,185,655,3335,2015,"Lansing-Westgate (38)"
"Bedford Park-Nortown",39,4555,3210,8410,3075,3980,660,123077,85678,9.4,720203,11835,11185,650,6715,60.3,5.5,23215,16805,300,0,300,655,515,195,465,950,30,145,20,620,90,4820,45,65,315,1260,1995,2015,"Bedford Park-Nortown (39)"
"St.Andrew-Windfields",40,2645,2540,6800,2625,3235,410,100516,70885,15.9,649291,9255,8475,770,5795,56.3,8.3,17790,8505,235,0,310,560,220,110,1555,930,80,665,30,3100,170,3245,175,540,120,595,1745,2015,"St.Andrew-Windfields (40)"
"Bridle Path-Sunnybrook-York Mills",41,1435,1425,3090,1525,1785,245,308010,193454,8.8,1392010,4515,4155,360,3230,53.6,8,9240,6015,200,0,115,290,150,65,460,305,25,120,0,1000,55,2275,40,230,30,80,590,2015,"Bridle Path-Sunnybrook-York Mills (41)"
"Banbury-Don Mills",42,3605,2730,10810,3555,6975,1640,67757,51874,13.7,493486,14015,13010,1010,9370,55.6,7.2,27480,13985,410,0,525,1420,375,455,2010,1160,120,420,75,3430,165,3485,285,740,40,1315,6270,2015,"Banbury-Don Mills (42)"
"Victoria Village",43,2630,2030,7170,2270,3405,570,35786,30769,25.9,171271,8620,7745,870,5940,53.2,10.1,17195,7965,290,5,1030,540,120,775,2120,710,45,95,100,615,110,1250,305,365,180,2060,3235,2015,"Victoria Village (43)"
